observation,symbol,assetContract,outputAsset,decimals,sellAmount,exactNumerator,denominator,remainder,integerFloor,integerCeil,nearestHalfUp,nearestHalfEven,zeroXReturnedAmount,floorMatch,ceilMatch,nearestHalfUpMatch,nearestHalfEvenMatch,differenceFromFloor,deviationNumerator,status,reason
2,ETH,0x0000000000000000000000000000000000000000,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,500000000000001,12500000000000025,10000,25,1250000000000,1250000000001,1250000000000,1250000000000,,false,false,false,false,,,temporarily_unavailable,
2,ETH,0x0000000000000000000000000000000000000000,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,500000000000199,12500000000004975,10000,4975,1250000000000,1250000000001,1250000000000,1250000000000,,false,false,false,false,,,temporarily_unavailable,
2,ETH,0x0000000000000000000000000000000000000000,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,500000000000200,12500000000005000,10000,5000,1250000000000,1250000000001,1250000000001,1250000000000,,false,false,false,false,,,temporarily_unavailable,
2,ETH,0x0000000000000000000000000000000000000000,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,500000000000201,12500000000005025,10000,5025,1250000000000,1250000000001,1250000000001,1250000000001,1250000000001,false,true,true,true,1,4975,indicative,
2,ETH,0x0000000000000000000000000000000000000000,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,500000000000399,12500000000009975,10000,9975,1250000000000,1250000000001,1250000000001,1250000000001,1250000000001,false,true,true,true,1,25,indicative,
2,ETH,0x0000000000000000000000000000000000000000,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,500000000000600,12500000000015000,10000,5000,1250000000001,1250000000002,1250000000002,1250000000002,1250000000002,false,true,true,true,1,5000,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694555600,1158614093612792363890000,10000,0,115861409361279236389,115861409361279236389,115861409361279236389,115861409361279236389,115861409361279236389,true,true,true,true,0,0,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694555601,1158614093612792363890025,10000,25,115861409361279236389,115861409361279236390,115861409361279236389,115861409361279236389,115861409361279236389,true,false,true,true,0,-25,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694555799,1158614093612792363894975,10000,4975,115861409361279236389,115861409361279236390,115861409361279236389,115861409361279236389,115861409361279236389,true,false,true,true,0,-4975,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694555800,1158614093612792363895000,10000,5000,115861409361279236389,115861409361279236390,115861409361279236390,115861409361279236390,115861409361279236390,false,true,true,true,1,5000,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694555801,1158614093612792363895025,10000,5025,115861409361279236389,115861409361279236390,115861409361279236390,115861409361279236390,115861409361279236390,false,true,true,true,1,4975,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694555999,1158614093612792363899975,10000,9975,115861409361279236389,115861409361279236390,115861409361279236390,115861409361279236390,115861409361279236390,false,true,true,true,1,25,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694556200,1158614093612792363905000,10000,5000,115861409361279236390,115861409361279236391,115861409361279236391,115861409361279236390,115861409361279236391,false,true,true,false,1,5000,indicative,
2,PEEP,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,18,46344563744511694555819,1158614093612792363895475,10000,5475,115861409361279236389,115861409361279236390,115861409361279236390,115861409361279236390,115861409361279236390,false,true,true,true,1,4525,indicative,
2,USDG,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,6,1000000,25000000,10000,0,2500,2500,2500,2500,2500,true,true,true,true,0,0,indicative,
2,USDG,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,6,1000001,25000025,10000,25,2500,2501,2500,2500,2500,true,false,true,true,0,-25,indicative,
2,USDG,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,6,1000199,25004975,10000,4975,2500,2501,2500,2500,2500,true,false,true,true,0,-4975,indicative,
2,USDG,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,6,1000200,25005000,10000,5000,2500,2501,2501,2500,2501,false,true,true,false,1,5000,indicative,
2,USDG,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,6,1000201,25005025,10000,5025,2500,2501,2501,2501,2501,false,true,true,true,1,4975,indicative,
2,USDG,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,6,1000399,25009975,10000,9975,2500,2501,2501,2501,,false,false,false,false,,,temporarily_unavailable,
2,USDG,0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168,0xf0821f2BF570ca4e7499a9Ed9dB7C788FED9946f,6,1000600,25015000,10000,5000,2501,2502,2502,2502,,false,false,false,false,,,temporarily_unavailable,
